Player,Nation,Pos,Squad,Age,90s,MP,Gls,Ast,Sh,SoT,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Tkl,Int,Clr,Blocks,Def 3rd,Mid 3rd,Att 3rd,TklW,Succ_x,KP,PassLive,PassDead,PrgP,market_value_in_eur,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ_y,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC,1/3_possession,CPA,Mis,Dis,Rec,PrgR
Moses Simon,NGA,"FW,MF",Nantes,28.0,19.9,22,3.0,5.0,33.0,12.0,4.1,3.3,5.6,65.0,7.0,318.0,508.0,62.6,7.0,3.0,5.0,41.0,2.0,5.0,0.0,5.0,47.0,29.0,45.0,1.0,36.0,12000000.0,706.0,6.0,50.0,233.0,441.0,117.0,705.0,89.0,47.0,52.8,38.0,42.7,571.0,5417.0,2905.0,146.0,53.0,55.0,60.0,37.0,561.0,214.0
Mostafa Mohamed,EGY,FW,Nantes,25.0,22.2,29,8.0,2.0,62.0,23.0,7.8,5.5,1.3,48.0,5.0,238.0,369.0,64.5,21.0,12.0,29.0,13.0,7.0,11.0,3.0,14.0,15.0,23.0,28.0,1.0,25.0,7000000.0,673.0,34.0,85.0,322.0,280.0,103.0,670.0,35.0,15.0,42.9,18.0,51.4,430.0,2709.0,740.0,23.0,18.0,10.0,82.0,37.0,456.0,115.0
Mouctar Diakhaby,GUI,"DF,MF",Valencia,26.0,11.9,14,1.0,0.0,7.0,3.0,0.7,0.7,0.1,6.0,1.0,475.0,546.0,87.0,18.0,11.0,62.0,4.0,9.0,9.0,0.0,11.0,4.0,2.0,6.0,0.0,29.0,2000000.0,683.0,95.0,363.0,294.0,31.0,7.0,683.0,5.0,4.0,80.0,1.0,20.0,388.0,1858.0,866.0,7.0,6.0,0.0,9.0,4.0,414.0,1.0
Moussa Diarra,MLI,DF,Toulouse,22.0,15.5,22,1.0,2.0,5.0,2.0,0.5,0.5,0.9,21.0,6.0,550.0,680.0,80.9,32.0,20.0,43.0,19.0,16.0,15.0,1.0,12.0,5.0,10.0,17.0,1.0,70.0,2000000.0,857.0,80.0,312.0,429.0,123.0,10.0,857.0,9.0,5.0,55.6,3.0,33.3,528.0,2705.0,1283.0,18.0,18.0,2.0,22.0,6.0,479.0,12.0
Muhammed Cham,AUT,"MF,FW",Clermont Foot,22.0,28.4,33,8.0,4.0,69.0,26.0,9.4,5.5,4.0,119.0,9.0,1055.0,1327.0,79.5,25.0,8.0,5.0,31.0,10.0,13.0,2.0,14.0,34.0,49.0,71.0,27.0,161.0,6000000.0,1609.0,20.0,208.0,846.0,576.0,69.0,1604.0,65.0,34.0,52.3,28.0,43.1,1216.0,7659.0,3240.0,71.0,77.0,13.0,57.0,42.0,1177.0,142.0
Munir El Haddadi,MAR,FW,Las Palmas,27.0,27.2,38,3.0,2.0,42.0,11.0,4.3,3.5,2.8,62.0,5.0,584.0,760.0,76.8,40.0,11.0,16.0,22.0,18.0,17.0,5.0,27.0,21.0,24.0,41.0,5.0,78.0,2500000.0,1043.0,14.0,108.0,516.0,430.0,70.0,1042.0,61.0,21.0,34.4,35.0,57.4,671.0,3237.0,1220.0,26.0,30.0,8.0,55.0,48.0,792.0,167.0
Murillo,BRA,DF,Nott'ham Forest,21.0,31.0,32,0.0,2.0,17.0,6.0,1.8,1.8,0.6,30.0,4.0,1123.0,1460.0,76.9,50.0,37.0,188.0,12.0,36.0,13.0,1.0,31.0,20.0,7.0,20.0,1.0,89.0,40000000.0,1850.0,359.0,1045.0,731.0,94.0,30.0,1850.0,35.0,20.0,57.1,15.0,42.9,985.0,5473.0,3400.0,22.0,14.0,3.0,20.0,15.0,1091.0,7.0
Mário Rui,POR,DF,Napoli,32.0,13.4,21,0.0,2.0,5.0,2.0,0.1,0.1,1.8,41.0,2.0,860.0,1068.0,80.5,27.0,15.0,19.0,16.0,17.0,5.0,5.0,15.0,3.0,26.0,25.0,13.0,90.0,1500000.0,1185.0,33.0,294.0,647.0,251.0,8.0,1185.0,9.0,3.0,33.3,4.0,44.4,623.0,2907.0,1775.0,33.0,21.0,1.0,10.0,9.0,812.0,59.0
Mërgim Vojvoda,KVX,DF,Torino,28.0,15.3,28,0.0,3.0,9.0,4.0,0.4,0.4,1.5,38.0,4.0,762.0,964.0,79.0,17.0,13.0,28.0,15.0,7.0,6.0,4.0,8.0,7.0,18.0,34.0,3.0,91.0,3000000.0,1062.0,48.0,307.0,468.0,294.0,11.0,1062.0,12.0,7.0,58.3,4.0,33.3,618.0,3248.0,1753.0,30.0,28.0,2.0,7.0,8.0,710.0,72.0
Nabil Alioui,FRA,"MF,FW",Le Havre,24.0,11.2,18,4.0,1.0,28.0,9.0,2.4,2.4,2.5,40.0,2.0,228.0,358.0,63.7,3.0,3.0,4.0,14.0,2.0,1.0,0.0,2.0,15.0,24.0,24.0,11.0,43.0,2800000.0,485.0,6.0,50.0,224.0,221.0,33.0,485.0,38.0,15.0,39.5,21.0,55.3,340.0,1958.0,846.0,22.0,20.0,7.0,23.0,17.0,328.0,72.0
