,,,,,,,,,,,,,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,Basic Stats Per 90,,-additional
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-9999
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
131,Phil Foden,2023-2024,23,eng ENG,Manchester City,eng Premier League,35,2857,31.7,33,2,2,0.6,0.3,0.9,0.6,0.0,0.0,0.0,FWMF,ed1e53f3
132,Wes Foderingham,2023-2024,32,eng ENG,Sheffield Utd,eng Premier League,30,2649,29.4,29,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,96cf7b61
133,Lyle Foster,2023-2024,22,za RSA,Burnley,eng Premier League,24,1899,21.1,22,2,0,0.2,0.1,0.4,0.2,0.0,0.0,0.0,FWMF,f84a807c
134,Cody Gakpo,2023-2024,24,nl NED,Liverpool,eng Premier League,35,1649,18.3,17,18,0,0.4,0.3,0.7,0.4,0.0,0.0,0.0,FWMF,1971591f
135,Conor Gallagher,2023-2024,23,eng ENG,Chelsea,eng Premier League,37,3128,34.8,37,0,0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,MF,c2731c10
136,Idrissa Gana Gueye,2023-2024,33,sn SEN,Everton,eng Premier League,25,1884,20.9,24,1,3,0.2,0.0,0.2,0.2,0.0,0.0,0.0,MF,72c812f3
137,Alejandro Garnacho,2023-2024,19,ar ARG,Manchester Utd,eng Premier League,36,2565,28.5,30,6,2,0.2,0.1,0.4,0.2,0.0,0.0,0.0,FW,7aa8adfe
138,James Garner,2023-2024,22,eng ENG,Everton,eng Premier League,37,3004,33.4,34,3,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,MF,4e015693
139,Saman Ghoddos,2023-2024,29,ir IRN,Brentford,eng Premier League,19,739,8.2,7,12,13,0.1,0.0,0.1,0.1,0.0,0.0,0.0,DF,f7b1d4e0
140,Morgan Gibbs-White,2023-2024,23,eng ENG,Nott'ham Forest,eng Premier League,37,3156,35.1,35,2,0,0.1,0.3,0.4,0.1,0.0,0.0,0.0,MFFW,32f60ed8
141,Billy Gilmour,2023-2024,22,sct SCO,Brighton,eng Premier League,30,2120,23.6,24,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,df10e27c
142,Ben Godfrey,2023-2024,25,eng ENG,Everton,eng Premier League,15,1120,12.4,13,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,9f7c837d
